Ord.Date & Time,Exch.,Symbol,Action,Ord. Qty,Discl. Qty,Exec. Qty,Ord. Price,Trigger Price,Book Type,Sett. Type,Terminal Id,Order Type,Source,Product,Status,Reason,Ref. No.,Exch. Order No.,BasketId/SIP REF. No.
1/21/2026 14:12,NSE,CIPLAEQ,BUY,2,0,2,1366,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26012100381287,1000000069045160,0
1/21/2026 11:07,BSE,SPANDANAEQ,BUY,5,0,5,227,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26012100203677,1.76897320110907E+018,0
1/21/2026 11:00,NSE,KALYANKJILEQ,BUY,5,0,5,406.35,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26012100197516,1200000037698650,0
5/19/2026 16:34,NSE,TMCVEQ,BUY,2,0,0,372,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,Exch Cancelled Batch Order,26051900234181,1300000051110870,0
3/19/2026 13:12,BSE,ITCEQ,BUY,2,0,2,299.7,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031900274166,1.77390469195111E+018,0
3/19/2026 11:24,NSE,TCSEQ,BUY,2,0,2,2385,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031900196288,1300000039956580,0
3/19/2026 11:21,NSE,CIPLAEQ,BUY,3,0,3,1250,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031900194136,1000000035282200,0
6/19/2026 16:31,NSE,WIPROEQ,BUY,6,0,0,175,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,Exch Cancelled Batch Order,26061900125460,1300000017664300,0
6/19/2026 11:50,NSE,BPCLEQ,BUY,10,0,10,308,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061900245588,1000000033045770,0
6/19/2026 9:50,NSE,GOLDBEESEQ,BUY,5,0,5,119,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061900103379,1100000017703640,0
1/19/2026 15:15,BSE,DRREDDYEQ,BUY,3,0,3,1166,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011900233563,1.76879904269194E+018,0
